0.253418, 0.022217, 1.077148
0.302002, 0.032471, 1.083496
0.449463, 0.022949, 1.000977
0.316650, -0.004395, 1.066895
0.082031, -0.019287, 1.092529
-0.198730, -0.007080, 1.135986
-0.035889, 0.020020, 1.135742
-0.259766, -0.032715, 1.067627
-0.211670, 0.022705, 1.090576
-0.293457, 0.044922, 1.162842
-0.341797, 0.020264, 1.093262
-0.481689, -0.016846, 1.063477
-0.714111, -0.142578, 1.076416
0.628418, -0.041016, 0.935059
0.866211, 0.081299, 0.791260
0.580078, 0.077637, 1.163818
0.452148, 0.020508, 1.144775
0.317383, -0.012939, 1.082031
0.255859, -0.014160, 1.067871
0.279053, -0.010742, 1.062988
-0.399902, -0.412109, 0.198486
-0.586914, -0.251953, 0.200195
0.099854, 1.651123, -0.644531
1.173096, -1.009033, -0.550049
0.743408, -0.468994, -0.535645
0.810547, -0.230713, -0.335449
0.706299, -0.357422, -0.438232
0.705078, -0.533203, -0.426514
0.711914, -0.441895, -0.255859
0.705566, -0.422119, -0.265381
0.628174, -0.407959, -0.213135
0.700928, -0.457031, -0.182617
0.758057, -0.363525, -0.085937
0.625000, -0.363770, -0.140869
0.437256, -0.436279, -0.297119
0.158203, -0.331543, -0.310059
0.346436, -0.311523, -0.014648
0.305420, -0.335938, 0.116455
0.308594, -0.349854, -0.017090
-0.318115, -0.361572, -0.112061
-0.447510, -0.071777, 0.016357
-0.429688, -0.087158, 0.088379
-0.639160, -0.015381, 0.053223
-0.667725, -0.018311, 0.049316
0.192383, -0.560059, -0.005127
0.524902, -0.463623, -0.124268
0.395996, -0.381104, -0.096924
0.317871, -0.318604, -0.159424

